航班日期,航班号,航线金额,舱位容量,订座数,行距,机型,起飞时间,到达时间,月份,日,星期几,是否节假日,温度,大气压,风速,能见度
2023-02-11,KN5955,135214.0,185,166,1178,73V,15:35:00,17:30:00,2,11,5,False,9,763.5,4,10
2023-02-11,KN5956,95891.0,185,134,1178,73V,19:05:00,21:15:00,2,11,5,False,9,765.0,4,10
2023-02-11,KN5977,76141.5,185,130,1176,73V,20:15:00,22:30:00,2,11,5,False,9,765.0,4,10
2023-02-12,KN5737,122200.5,292,211,1178,33L,07:15:00,09:20:00,2,12,6,False,11,761.2,3,8
2023-02-12,KN5978,87950.91,185,141,1180,73V,08:15:00,10:40:00,2,12,6,False,12,761.2,3,8
2023-02-12,KN5738,203084.0,292,259,1178,33L,10:55:00,13:10:00,2,12,6,False,13,760.5,3,6
2023-02-12,KN5955,162180.0,185,179,1178,73V,15:35:00,17:30:00,2,12,6,False,15,759.0,4,10
2023-02-12,KN5956,120665.0,185,147,1178,73V,19:05:00,21:15:00,2,12,6,False,13,760.5,4,8
2023-02-12,KN5977,139530.0,185,180,1176,73V,20:15:00,22:35:00,2,12,6,False,12,760.5,4,8
2023-02-13,KN5737,166252.0,292,244,1178,33L,07:15:00,09:20:00,2,13,0,False,7,765.0,8,4
2023-02-13,KN5978,123124.0,185,148,1180,73V,08:15:00,10:40:00,2,13,0,False,7,766.6,7,3.5
2023-02-13,KN5738,219744.0,292,257,1178,33L,10:55:00,13:10:00,2,13,0,False,6,767.3,7,3
2023-02-13,KN5955,142276.0,185,171,1178,73V,15:35:00,17:30:00,2,13,0,False,7,767.3,7,10
2023-02-13,KN5956,83430.0,185,106,1178,73V,19:05:00,21:15:00,2,13,0,False,5,769.6,8,10
2023-02-13,KN5977,105416.5,185,153,1176,73V,20:15:00,22:35:00,2,13,0,False,5,769.6,7,10
2023-02-14,KN5737,138469.0,292,209,1178,33L,07:15:00,09:20:00,2,14,1,False,3,771.9,6,10
2023-02-14,KN5978,88652.5,185,151,1180,73V,08:15:00,10:40:00,2,14,1,False,3,772.7,5,10
2023-02-14,KN5738,170895.0,292,227,1178,33L,10:55:00,13:10:00,2,14,1,False,5,771.9,5,10
2023-02-14,KN5955,146460.0,185,181,1178,73V,15:35:00,17:30:00,2,14,1,False,7,770.4,6,10
2023-02-14,KN5956,121093.0,185,172,1178,73V,19:05:00,21:15:00,2,14,1,False,5,771.9,6,10
2023-02-14,KN5977,77925.0,185,122,1176,73V,20:15:00,22:30:00,2,14,1,False,5,771.9,6,10
2023-02-15,KN5737,182412.5,292,269,1178,33L,07:15:00,09:20:00,2,15,2,False,2,773.9,3,10
2023-02-15,KN5978,130640.0,185,168,1180,73V,08:15:00,10:40:00,2,15,2,False,4,773.9,4,10
2023-02-15,KN5738,246629.0,292,273,1178,33L,10:55:00,13:10:00,2,15,2,False,7,774.7,5,10
2023-02-15,KN5955,139004.0,185,176,1178,73V,15:35:00,17:30:00,2,15,2,False,9,773.4,5,10
2023-02-15,KN5956,125665.0,185,153,1178,73V,19:05:00,21:15:00,2,15,2,False,6,774.7,4,10
2023-02-15,KN5977,103616.0,185,156,1176,73V,20:15:00,22:35:00,2,15,2,False,6,774.7,4,10
2023-02-16,KN5737,136139.5,292,207,1178,33L,07:15:00,09:20:00,2,16,3,False,1,774.7,1,10
2023-02-16,KN5978,84178.0,185,131,1180,73V,08:15:00,10:40:00,2,16,3,False,4,774.7,1,10
2023-02-16,KN5738,203435.0,292,240,1178,33L,10:55:00,13:10:00,2,16,3,False,8,774.7,1,10
2023-02-16,KN5955,140500.0,185,173,1178,73V,15:35:00,17:30:00,2,16,3,False,12,771.9,1,10
2023-02-16,KN5956,131495.0,185,182,1178,73V,19:05:00,21:15:00,2,16,3,False,7,771.9,4,10
2023-02-16,KN5977,100913.0,185,166,1176,73V,20:15:00,22:30:00,2,16,3,False,7,772.7,4,10
2023-02-17,KN5737,155939.5,292,253,1178,33L,07:15:00,09:20:00,2,17,4,False,7,768.9,4,10
2023-02-17,KN5978,90041.0,185,129,1180,73V,08:15:00,10:40:00,2,17,4,False,7,769.6,3,10
2023-02-17,KN5738,190203.0,292,254,1178,33L,10:55:00,13:10:00,2,17,4,False,9,769.6,3,10
2023-02-17,KN5955,205840.0,179,179,1178,73U,15:35:00,17:30:00,2,17,4,False,13,765.8,3,10
2023-02-17,KN5956,165445.0,179,168,1178,73U,19:05:00,21:15:00,2,17,4,False,12,766.6,3,10
2023-02-17,KN5977,154331.0,185,181,1176,73V,20:15:00,22:35:00,2,17,4,False,11,766.6,2,10
2023-02-18,KN5737,159351.5,292,266,1178,33L,07:15:00,09:20:00,2,18,5,False,10,765.0,2,7
2023-02-18,KN5978,109520.0,185,162,1180,73V,10:15:00,12:40:00,2,18,5,False,14,765.8,2,8
2023-02-18,KN5738,210021.0,292,269,1178,33L,10:55:00,13:10:00,2,18,5,False,16,765.0,2,8
2023-02-18,KN5955,111411.0,179,165,1178,73U,15:35:00,17:30:00,2,18,5,False,21,762.0,2,10
2023-02-18,KN5956,93596.0,179,140,1178,73U,19:05:00,21:15:00,2,18,5,False,15,764.3,8,7
2023-02-18,KN5977,81525.0,185,155,1176,73V,20:15:00,22:30:00,2,18,5,False,14,765.0,5,7
2023-02-19,KN5737,100577.0,292,183,1178,33L,07:15:00,09:20:00,2,19,6,False,10,769.6,5,3
2023-02-19,KN5978,91390.65,185,143,1180,73V,08:15:00,10:40:00,2,19,6,False,10,770.4,8,3
2023-02-19,KN5738,210029.0,292,264,1178,33L,10:55:00,13:10:00,2,19,6,False,10,771.1,7,5
2023-02-19,KN5955,145240.0,179,159,1178,73U,15:55:00,17:50:00,2,19,6,False,11,769.6,5,10
2023-02-19,KN5956,126745.0,179,156,1178,73U,19:05:00,21:15:00,2,19,6,False,7,770.4,4,10
2023-02-19,KN5977,96205.0,185,135,1176,73V,20:15:00,22:35:00,2,19,6,False,7,771.1,4,10
2023-02-20,KN5737,152962.0,292,233,1178,33L,07:15:00,09:20:00,2,20,0,False,3,771.9,2,8
2023-02-20,KN5978,120706.0,185,160,1180,73V,08:15:00,10:40:00,2,20,0,False,6,772.7,1,8
2023-02-20,KN5738,226238.0,292,269,1178,33L,10:55:00,13:10:00,2,20,0,False,10,773.4,4,10
2023-02-20,KN5955,208944.0,292,277,1178,33L,15:35:00,17:30:00,2,20,0,False,13,772.7,2,10
2023-02-20,KN5977,69641.0,185,110,1176,73V,20:15:00,22:35:00,2,20,0,False,8,773.9,4,10
2023-02-21,KN5737,101720.0,292,181,1178,33L,07:15:00,09:20:00,2,21,1,False,4,777.0,6,10
2023-02-21,KN5978,96873.0,185,163,1180,73V,08:15:00,10:40:00,2,21,1,False,4,777.7,7,10
2023-02-21,KN5738,178049.0,292,219,1178,33L,10:55:00,13:10:00,2,21,1,False,6,777.7,5,10
